id,id_adjudicacion,id_partida,importe,importe_iva,total
1,289,814,145441,23270.5,168711
2,289,815,39725,6355.98,46080.9
3,289,816,126112,20177.9,146290
4,290,843,36702,5872.28,42574.1
5,290,844,28741,4598.58,33339.7
6,290,845,37217,5954.77,43172.1
7,290,846,45471,7275.34,52746.2
8,290,847,38448,6151.63,44599.3
9,290,848,144708,23153.3,167862
10,290,849,52713,8434.07,61147
11,291,909,45932,7349.07,53280.8
12,291,910,25564,4090.19,29653.9
13,291,911,61016,9762.57,70778.6
14,291,912,45775,7323.98,53098.8
15,291,913,40676,6508.19,47184.4
16,291,914,46662,7465.99,54128.4
17,292,915,78296,12527.4,90823.5
18,292,916,45274,7243.87,52518.1
19,292,917,69665,11146.5,80811.8
20,292,949,88868,14218.9,103087
21,292,950,83357,13337.2,96694.5
22,292,951,90908,14545.3,105454
23,293,812,129266,20682.5,149948
24,293,837,172053,27528.4,199581
25,294,812,129266,20682.5,149948
26,294,837,172053,27528.4,199581
27,295,812,129265.51,20682.48,149947.99
28,295,837,172052.71,27528.43,199581.14
29,296,862,259110.36,41457.66,300568.02
30,297,925,300932.68,48149.23,349081.91
31,298,774,488715.50,78194.48,566909.98
32,298,776,42107.31,6737.17,48844.48
33,299,901,51168.53,8186.96,59355.49
34,299,902,88754.62,14200.74,102955.36
35,299,903,42910.50,6865.68,49776.18
36,299,907,81293.67,13006.99,94300.66
37,299,908,61613.70,9858.19,71471.89
38,299,954,106255.25,17000.84,123256.09
39,300,839,120995.49,19359.28,140354.77
40,300,840,44655.27,7144.84,51800.11
41,300,841,54378.59,8700.57,63079.16
42,300,842,99661.10,15945.78,115606.88
43,301,957,278495.08,44559.21,323054.29
44,302,958,278645.93,44583.35,323229.28
45,303,959,297847.04,47655.53,345502.57
46,304,956,298419.10,47747.06,346166.16
47,305,884,92161.38,14745.82,106907.20
48,305,885,166164.12,26586.26,192750.38
49,306,854,93905.61,15024.90,108930.51
50,306,855,61574.67,9851.95,71426.62
51,307,662,1853393.23,296542.92,2149936.15
52,308,918,145498.47,23279.76,168778.23
53,309,955,101183.08,16189.29,117372.37
54,310,932,90068.97,14411.04,104480.01
55,310,933,108274.93,17323.99,125598.92
56,310,934,46109.27,7377.48,53486.75
57,310,935,46734.34,7477.49,54211.83
58,310,936,79998.01,12799.68,92797.69
59,311,937,88879.28,14220.68,103099.96
60,311,938,58410.63,9345.70,67756.33
61,311,939,50980.69,8156.91,59137.60
62,311,940,73706.20,11792.99,85499.19
63,312,822,145233.63,23237.38,168471.01
64,312,823,129934.29,20789.49,150723.78
65,313,824,118373.11,18939.70,137312.81
66,313,825,96195.53,15391.28,111586.81
67,313,826,98522.80,15763.65,114286.45
68,314,827,38321.66,6131.47,44453.13
69,314,828,55554.17,8888.67,64442.84
70,314,829,58162.65,9306.02,67468.67
71,314,830,102961.49,16473.84,119435.33
72,315,817,115168.77,18427.00,133595.77
73,315,818,135073.10,21611.70,156684.80
74,316,852,72796.88,11647.50,84444.38
75,316,853,144962.20,23193.95,168156.15
76,317,900,50217.60,8034.82,58252.42
77,317,941,108821.70,17411.47,126233.17
78,318,850,111759.20,17881.47,129640.67
79,318,851,111759.20,17881.47,129640.67
80,319,831,46326.20,7412.19,53738.39
81,319,832,4259.70,681.55,4941.25
82,319,833,69596.12,11135.38,80731.50
83,319,834,50652.80,8104.45,58757.25
84,319,835,45678.60,7308.58,52987.18
85,319,836,25564.30,4090.29,29654.59
86,320,850,120964.13,19354.26,140318.39
87,320,851,102554.27,16408.68,118962.95
88,321,819,78111.64,12497.86,90609.50
89,321,820,139708.47,22353.36,162061.83
90,321,821,116025.49,18564.08,134589.57
91,322,927,89808.30,14369.33,104177.63
92,322,931,89808.30,14369.33,104177.63
93,323,920,79241.80,12678.69,91920.49
94,323,921,46709.72,7473.56,54183.28
95,323,922,81303.73,13008.60,94312.33
96,323,923,126410.87,20225.74,146636.61
97,324,856,122837.07,19653.93,142491.00
98,324,919,31095.17,4975.23,36070.40
99,325,896,20267.35,3242.78,23510.13
100,325,897,17162.99,2746.08,19909.07
101,325,898,134446.71,21511.47,155958.18
102,325,988,75285.81,12045.73,87331.54
