id,num_contrato,fecha,fecha_dictamen,referencia,observaciones,tipo,fecha_inicio,fecha_termino,nuevo_objecto,tipo_monto,importe,iva_importe,total_convenio,num_fianza,fecha_fianza,afianzadora,monto_fianza
1,SIDUR-PF-15-015.36,04/11/2015,,SIDUR-PF-15-015-C1,PARA INCREMENTAR EL PLAZO DE EJECUCIONRN,PL,29/06/2015,15/12/2015,,,,,,,,,
2,SIDUR-PF-15-015.36,15/12/2015,,SIDUR-PF-15-015-C2,PARA INCREMENTAR EL PLAZO DE EJECUCION,PL,29/06/2015,31/12/2015,,,,,,,,,
3,SIDUR-ED-15-043.10,15/12/2015,,SIDUR-ED-15-043-C1,ACLARACION  UBICACION LOCALIDAD Y MUNICIPIO,OB,,,LOCALIDAD BACOBAMPO MUNICIPIO ETCHOJOA,,,,,,,,
152,SIDUR-ED-16-021.78,25/09/2016,,C3,"EL OBJETO DEL PRESENTE CONVENIO CONSISTE EN DIFERIR EL PERÃ­ODO DE EJECUCIÃ³N DEL CONTRATO NO. SIDUR-ED-16-021 CELEBRADO ENTRE LAS PARTES EL 22 DE ABRIL DE 2016, EN RAZÃ³N DE LA SUSPENSIÃ³N Y REANUDACIÃ³N DE LOS TRABAJOS RELATIVOS A DICHO CONTRATO",PL,20/06/2016,01/11/2016,,,,,,,,,
153,SIDUR-ED-16-027.74,01/09/2016,,C3,"EL OBJETO DEL PRESENTE CONVENIO CONSISTE EN INCREMENTAR EL PERÃ­ODO DE EJECUCIÃ³N DEL CONTRATO NO. SIDUR-ED-16-027 CELEBRADO ENTRE LAS PARTES EL 25 DE ABRIL DE 2016, EN RAZÃ³N DE ADECUACIONES AL PROYECTO Y LA PRESENCIA DE LLUVIAS EN EL SITIO DE LA OBRA DURANTE EL DESARROLLO DE LOS TRABAJOS",PL,20/06/2016,09/10/2016,,,,,,,,,
154,SIDUR-ED-16-027.74,22/10/2016,,C4,"EMEDIANTE ESTE INSTRUMENTO LAS PARTES CONVIENEN DIFERIR EN 45 DÃ­AS NATURALES EL PERÃ­ODO DE EJECUCIÃ³N DEL CONTRATO NO. SIDUR-ED-16-027 CELEBRADO ENTRE LAS PARTES EL 25 DE ABRIL DE 2016, POR LO QUE EL NUEVO PERÃ­ODO DE EJECUCIÃ³N SERÃ¡ DEL 20 DE JUNIO DE 2016 AL 23 DE NOVIEMBRE DE 2016, DE ACUERDO AL PROGRAMA DE EJECUCIÃ³N QUE FIRMADO POR LAS PARTES SE INTEGRA AL PRESENTE DOCUMENTO FORMANDO PARTE INTEGRAL DEL MISMO",PL,20/06/2016,23/11/2016,,,,,,,,,
155,SIUDR-PF-15-091.50,15/08/2016,,C4,"MEDIANTE ESTE INSTRUMENTO LAS PARTES CONVIENEN INCREMENTAR EN 25 DÃ­AS NATURALES EL PERÃ­ODO DE EJECUCIÃ³N DEL CONTRATO NO. SIDUR-PF-15-091 CELEBRADO ENTRE LAS PARTES EL 23 DE DICIEMBRE DE 2015, POR LO QUE EL NUEVO PERÃ­ODO DE EJECUCIÃ³N SERÃ¡ DEL 30 DE MAYO DE 2016 AL 21 DE OCTUBRE DE 2016, DE ACUERDO AL PROGRAMA DE EJECUCIÃ³N QUE FIRMADO POR LAS PARTES SE INTEGRA AL PRESENTE DOCUMENTO FORMANDO PARTE INTEGRAL DEL MISMO",PL,30/05/2016,21/10/2016,,,,,,,,,
156,SIUDR-PF-15-091.50,17/10/2016,17/10/2016,C5,"MEDIANTE ESTE INSTRUMENTO LAS PARTES CONVIENEN INCREMENTAR EL MONTO Y EL PERIODO DE EJECUCIÃ³N DEL CONTRATO NO. SIDUR-PF-15-091 CELEBRADO ENTRE LAS PARTES EL 23 DE DICIEMBRE DE 2015, EN LA CANTIDAD DE $737,034.05 (SON: SETECIENTOS TREINTA Y SIETE MIL TREINTA Y CUATRO PESOS 05/100 M.N.), INCLUYE I.V.A.; POR LO ANTERIOR, EL NUEVO IMPORTE DEL CONTRATO ES DE $4Â´692,358.78 (SON: CUATRO MILLONES SEISCIENTOS NOVENTA Y DOS MIL TRESCIENTOS CINCUENTA Y OCHO PESOS 78/100 M.N.), INCLUYE EL I.V.A.; INICIAR LOS TRABAJOS MATERIA DEL PRESENTE CONTRATO ADICIONAL EL 30 DE MAYO DE 2016, A TERMINARLOS EL 30 DE NOVIEMBRE DE 2016",BOTH,30/05/2016,30/11/2016,,AM,635374.18,101659.87,737034.05,1244-00044-7,17/10/2016,ASERTA,73703.41
157,SIDUR-PF-16-323.391,05/11/2016,,C1,"RNSEGUNDA. MEDIANTE ESTE INSTRUMENTO LAS PARTES CONVIENEN DIFERIR EN 33 DÃ­AS NATURALES EL PERÃ­ODO DE EJECUCIÃ³N DEL CONTRATO NO. SIDUR-PF-16-323 CELEBRADO ENTRE LAS PARTES EL 03 DE OCTUBRE DE 2016, POR LO QUE EL NUEVO PERÃ­ODO DE EJECUCIÃ³N SERÃ¡ DEL 05 DE NOVIEMBRE DE 2016 AL 04 DE DICIEMBRE DE 2016, DE ACUERDO AL PROGRAMA DE EJECUCIÃ³N QUE FIRMADO POR LAS PARTES SE INTEGRA AL PRESENTE DOCUMENTO FORMANDO PARTE INTEGRAL DEL MISMORN",PL,05/11/2016,04/12/2016,,,,,,,,,
158,SIDUR-PF-16-304.390,14/10/2016,,C1,"MEDIANTE ESTE INSTRUMENTO LAS PARTES CONVIENEN DIFERIR EN 15 DÃ­AS NATURALES EL PERÃ­ODO DE EJECUCIÃ³N DEL CONTRATO NO. SIDUR-PF-16-304 CELEBRADO ENTRE LAS PARTES EL 26 DE SEPTIEMBRE DE 2016, POR LO QUE EL NUEVO PERÃ­ODO DE EJECUCIÃ³N SERÃ¡ DEL 15 DE OCTUBRE DE 2016 AL 12 DE ENERO DE 2017, DE ACUERDO AL PROGRAMA DE EJECUCIÃ³N QUE FIRMADO POR LAS PARTES SE INTEGRA AL PRESENTE DOCUMENTO FORMANDO PARTE INTEGRAL DEL MISMO",PL,15/10/2016,12/01/2017,,,,,,,,,
