id,num_contrato,num_estimacion,tipoEstimacion,id_deducion,porcentaje1,importe_deducion,id,nombre_deduccion,porcentaje,fecha,fecha_modificacion
1,SIDUR-PF-15-015.36,1,1,8,0.5,8079.02,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
12,SIDUR-ED-15-043.10,1,1,15,0.2,5107.34,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
13,SIDUR-ED-15-043.10,1,1,14,0.2,5107.34,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
14,SIDUR-ED-15-043.10,1,1,13,0.03,766.1,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
15,SIDUR-ED-15-043.10,1,1,12,0.03,766.1,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
16,SIDUR-ED-15-043.10,1,1,11,0.03,766.1,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
27,SIDUR-ED-15-039.8,1,1,15,0.2,3939.89,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
28,SIDUR-ED-15-039.8,1,1,14,0.2,3939.89,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
29,SIDUR-ED-15-039.8,1,1,13,0.03,590.98,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
30,SIDUR-ED-15-039.8,1,1,12,0.03,590.98,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
31,SIDUR-ED-15-039.8,1,1,11,0.03,590.98,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
32,SIDUR-ED-15-039.8,2,1,15,0.2,3501.91,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
33,SIDUR-ED-15-039.8,2,1,14,0.2,3501.91,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
34,SIDUR-ED-15-039.8,2,1,13,0.03,525.29,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
35,SIDUR-ED-15-039.8,2,1,12,0.03,525.29,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
36,SIDUR-ED-15-039.8,2,1,11,0.03,525.29,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
57,SIDUR-PF-15-092.38,1,1,8,0.5,5531.92,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
59,SIDUR-ED-15-042.33,1,1,15,0.2,4078.29,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
60,SIDUR-ED-15-042.33,1,1,14,0.2,4078.29,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
61,SIDUR-ED-15-042.33,1,1,13,0.03,611.74,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
62,SIDUR-ED-15-042.33,1,1,12,0.03,611.74,12,15 % UNIVERSIDADES DE SONORA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,15/02/2016
63,SIDUR-ED-15-042.33,1,1,11,0.03,611.74,11,15% CECOP DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,12/06/2013,24/09/2014
64,SIDUR-PF-15-077.15,1,1,8,0.5,2345.5,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
66,SIDUR-PF-15-083.28,1,1,8,0.5,3026.6,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
67,SIDUR-PF-15-076.14,1,1,8,0.5,13496.66,8,0.5% INSPECCION Y VIGILANCIA (FEDERAL),0.5,12/06/2013,24/09/2014
78,SIDUR-ED-15-039.8,3,1,15,0.2,6158.11,15,0.2% (DOS AL MILLAR) INSTITUTO DE CAPACITACION DE LA INDUSTRIA DE LA CONSTRUCCION,0.2,24/09/2014,
79,SIDUR-ED-15-039.8,3,1,14,0.2,6158.11,14,0.2% INSPECCION Y VIGILANCIA (ESTATAL),0.2,24/09/2014,24/09/2014
80,SIDUR-ED-15-039.8,3,1,13,0.03,923.72,13,15 % INFRAESTRUCTURA EDUCATIVA DEL 0.2% (DOS AL MILLAR) DE INSP. Y VIG. ESTATAL,0.03,02/07/2014,24/09/2014
