Prog_Id,num_contrato,Prog_Del,Prog_Al,Prog_Monto
698,SIDUR-ED-16-109.108,20160527,20160531,96428.27
699,SIDUR-ED-16-109.108,20160601,20160630,567225.08
700,SIDUR-ED-16-109.108,20160701,20160731,567225.08
701,SIDUR-ED-16-109.108,20160801,20160831,567225.08
702,SIDUR-ED-16-109.108,20160901,20160930,567225.08
703,SIDUR-ED-16-109.108,20161001,20161031,567225.08
704,SIDUR-ED-16-109.108,20161101,20161130,567225.08
705,SIDUR-ED-16-109.108,20161201,20161222,470796.81
729,SIDUR-ED-16-008.55,20160411,20160430,1204836.85
730,SIDUR-ED-16-008.55,20160501,20160531,185392.4
731,SIDUR-ED-16-008.55,20160601,20160630,182663.21
732,SIDUR-ED-16-008.55,20160701,20160731,7629937.2
733,SIDUR-ED-16-008.55,20160801,20160831,10299750.12
734,SIDUR-ED-16-008.55,20160901,20160907,1201400.28
769,SIDUR-PF-15-090.49,20160404,20160430,1218377.1
770,SIDUR-PF-15-090.49,20160501,20160518,473329.01
774,SIDUR-ED-16-107.106,20160527,20160531,52336.85
775,SIDUR-ED-16-107.106,20160601,20160630,358785.51
776,SIDUR-ED-16-107.106,20160701,20160731,351310.6
777,SIDUR-ED-16-107.106,20160801,20160831,373734.93
778,SIDUR-ED-16-107.106,20160901,20160930,358785.51
779,SIDUR-ED-16-107.106,20161001,20161031,351310.6
781,SIDUR-ED-16-073.152,20160506,20160531,44732.1
782,SIDUR-ED-16-073.152,20160601,20160630,31332.1
783,SIDUR-ED-16-073.152,20160701,20160731,14140.6
784,SIDUR-ED-16-073.152,20160801,20160831,2679.6
785,SIDUR-ED-16-073.152,20160901,20160902,2679.6
791,SIDUR-ED-16-057.97,20160530,20160531,9587.56
792,SIDUR-ED-16-057.97,20160601,20160630,115050.74
793,SIDUR-ED-16-057.97,20160701,20160731,112653.83
794,SIDUR-ED-16-057.97,20160801,20160831,119844.54
795,SIDUR-ED-16-057.97,20160901,20160926,95875.61
804,SIDUR-ED-16-061.69,20160504,20160531,300126.78
805,SIDUR-ED-16-061.69,20160601,20160630,313162.91
806,SIDUR-ED-16-061.69,20160701,20160731,306638.69
807,SIDUR-ED-16-061.69,20160801,20160831,326211.36
808,SIDUR-ED-16-061.69,20160901,20160930,313162.91
809,SIDUR-ED-16-061.69,20161001,20161031,306638.69
810,SIDUR-ED-16-061.69,20161101,20161129,287066.02
816,SIDUR-ED-16-060.96,20160503,20160531,178262.33
817,SIDUR-ED-16-060.96,20160601,20160630,183719.34
818,SIDUR-ED-16-060.96,20160701,20160731,180081.34
