num_contrato,Id,Numero,Tipo,Nombre,PorcentajeEstimado,Editable,,,,,
SIDUR-ED-16-073.152,1644,1,1,"DIRIGIR Y VIGILAR, TANTO EL PROYECTO COMO EN LA EJECUCION,QUE SE CUMPLA CON ESTABLECIDO EN EL REGLAMENTO DE CONSTRUCCION PARA EL MUNICIPIO DE HERMOSILLO Y DEL ESTADO SONORA(MARCAR INSTRUCCIONES Y ACTIVIDADES EN BITACORA, ASI COMO REGISTRO DE VIS)",NULL,0,,,,,
SIDUR-ED-16-073.152,1645,1,2,"DIRIGIR Y VIGILAR, TANTO EL PROYECTO COMO EN LA EJECUCION,QUE SE CUMPLA CON ESTABLECIDO EN EL REGLAMENTO DE CONSTRUCCION PARA EL MUNICIPIO DE HERMOSILLO Y DEL ESTADO SONORA(MARCAR INSTRUCCIONES Y ACTIVIDADES EN BITACORA, ASI COMO REGISTRO DE VIS",14,0,,,,,
SIDUR-ED-16-073.152,1646,2,1,"DE SER NECESARIO INTEGRAR CORRESPONSABLES SEGUN LA NORMATIVIDAD DEL MUNICIPIO, PRESENTANDO INFORMES MENSUALES, INTEGRANDO REPORTE FOTOGRAFICO CON VISTAS A LA OBRA UNA O DOS VECES POR SEMANA ",NULL,0,,,,,
SIDUR-ED-16-073.152,1647,2,2,"DE SER NECESARIO INTEGRAR CORRESPONSABLES SEGUN LA NORMATIVIDAD DEL MUNICIPIO, PRESENTANDO INFORMES MENSUALES, INTEGRANDO REPORTE FOTOGRAFICO CON VISTAS A LA OBRA UNA O DOS VECES POR SEMANA",36,0,,,,,
SIDUR-ED-16-073.152,1648,3,1,"REVISAR MEDIDAS DE SEGURIDAD, FIRMA DE LOS PLANOS AS BUILT DEL PROOYECTO EJECUTIVO FINAL AUTORIZADOS",NULL,0,,,,,
SIDUR-ED-16-073.152,1649,3,2,"REVISAR MEDIDAS DE SEGURIDAD, FIRMA DE LOS PLANOS AS BUILT DEL PROOYECTO EJECUTIVO FINAL AUTORIZADOS",36,0,,,,,
SIDUR-ED-16-073.152,1650,4,1,FINIQUITO DE OBRA,NULL,0,,,,,
SIDUR-ED-16-073.152,1651,4,2, FINIQUITO DE OBRA ,14,0,,,,,
SIDUR-ED-16-102.90,1652,1,1,LINEA DE CONDUCCION,NULL,0,,,,,
SIDUR-ED-16-102.90,1653,1,2,LINEA DE CONDUCION,98,0,,,,,
