num_contrato,NumeroAvance,FechaAvance,SituacionContrato,ComentarioAvance,ComentarioGral,FechaTerminacionEstimada,SituacionContratistaPersonal,SituacionContratistaMateriales,SituacionContratistaMaquinara,SituacionContratistaEqIntPermanente,SituacionContratistaCalidad,SituacionSCAMProyecto,SituacionSCAMEstimaciones,SituaiconSCAMPreciosUnitarios,SituacionSCAMConveniosTramites,SituacionSCAMOtros,FotoPrincipal,Id_import,AvFis,AvFin,AvProg,avance,,,
SIDUR-PF-15-015.36,1,20150701,1,,,,1,1,1,1,1,1,1,1,1,1,NULL,1,14.35,NULL,NULL,0,,,
SIDUR-PF-15-086.30,1,20160225,1,"SE CONTINÚAN LOS TRABAJOS DE CIMBRADO, HABILITADO DE ACERO Y COLADO DE LA CIMENTACIO.SEDA POR INICIO DE OBRA EL DIA 15 DE DICIEMBRE 2016 EN TRAMITE REPROGRAMACION DE OBRA YA QUE EL AVANCE PROGRAMADO EL SISTEMA TOMO LA FECHA DE CONTRATO DE DICIEMBRE DE 2015",,,1,1,1,1,2,3,0,0,0,0,NULL,2,1.57,NULL,NULL,0,,,
SIDUR-PF-15-015.36,2,20160225,1,,OBRA TERMINADA Y FUNCIONANDO,,0,0,0,0,0,0,0,0,0,0,NULL,5,100,NULL,NULL,0,,,
SIDUR-PF-15-092.38,1,20160229,1,EL CONTRATISTA DIÓ INICIO A LOS TRABAJOS RELATIVOS A LA OBRA EL DÍA 28 DE ENERO DEL PRESENTE SIN HABER RECIBIDO EL PAGO DEL ANTICIPO DE OBRA CORRESPONDIENTE. CABE ACLARAR QUE EL CONTRATISTA NO RENUNCIÓ AL PAGO DEL ANTICIPO DE OBRA.,,,1,1,1,1,1,3,1,0,0,0,NULL,6,7.2,NULL,NULL,0,,,
SIDUR-ED-15-041.11,1,20160229,1,,,,5,4,5,5,1,1,0,0,0,0,NULL,8,0.72,NULL,NULL,0,,,
SIDUR-ED-15-041.11,2,20160229,1,,,,0,0,0,0,0,0,0,0,0,0,NULL,9,0.72,NULL,NULL,0,,,
SIDUR-ED-15-042.33,1,20160111,3,,"LA OBRA PRESENTA UN ATRASO CON RESPECTO AL PROGRAMA DEL CONTRATO, SE ESTA ELABORANDO UN CONVENIO EN TIEMPO, PARA SU REGULARIZACION.",,3,1,1,1,1,1,0,1,3,1,NULL,13,43,NULL,NULL,0,,,
SIDUR-PF-15-084.12,1,20160226,3,"LOS AVANCE SE HAN LLEVADO DE MANERA LENTA A LA FECHA DE 19 DE FEBRERO SE CONTINUABA CON HABILITADO DE ACERO PARA CIMENTACION PARA CONSTRUCCION DE ZAPATAS Y CONTRATRABES ,PARA EL 25 DE FEBRERO SE CONTINUA CON HABILITADO   DE ACERO PARA CONSTRUCCION DE ZAPATAS Y CONTRATRABES, AVANCES LENTOS","LA OBRA SE INICIA EL 15 DE FEBRERO DEL PRESENTE  REALIZANDOSE TRABAJOS DE LIMPIEZA DE AREAS DE TRABAJO, SE OBSERVA QUE LOS NIVELES DE PISO TERMINADO BAJOS POR LO QUE SE CONSIDERA ELEVAR PARA PROTEGER EDIFICIO DE INUNDACIONES PREVIA CONSULTA CON PROYECTOS, EN PROCESO LOS CONVENIOS CORRESPONDIENTES PARA REPROGRAMACION DE OBRA",,3,2,3,3,3,3,0,0,4,0,NULL,14,2.2,NULL,NULL,0,,,
SIDUR-PF-15-084.12,2,20160302,3,"se ejecutan trabajos de tratamiento de terreno natural y se suministra material para conformación de plataforma, se continua con habilitado de acero para zapatas , contra trabes y columnas, se denota mas movimiento de personal en obra ",el lugar de la obra se ubica en una zona por donde se desfoga las aguas pluviales del sector por lo que es necesario la construcción de un conducto que nos permita desfogarlas y mantener fuera de riesgo las instalaciones. ,,3,3,3,3,3,3,0,0,0,0,NULL,15,4.1,NULL,NULL,0,,,
SIDUR-PF-15-073.19,1,20160307,1,"SE TIENE TERMINADO EL COLADO DE LA LOSA DE AZOTEA,  EN ESPEERA DE PODER DESCIMBRAR PARA INICIAR CON LA COLOCACION DE PISOS Y MUROS DE TABLARROCA",,,1,2,1,2,1,4,0,0,0,0,NULL,21,25,NULL,NULL,0,,,
SIDUR-ED-15-041.11,3,20160307,1,,,,3,3,3,3,1,2,0,0,1,0,NULL,22,13.2,NULL,NULL,0,,,
SIDUR-PF-15-092.38,2,20160307,1,"INICIALMENTE SE HABÍA CONSIDERADO LA CONSTRUCCIÓN DE UNA FOSA SÉPTICA PARA DESCARGAR LAS AGUAS NEGRAS DEL MÓDULO DE BAÑOS,PORQUE NO SE TENÍA LA UBICACIÓN DE ALGUNA LÍNEA DE DRENAJE SANITARIO CERCANA AL LUGAR DE LA OBRA, TODA VEZ QUE SE UBICÓ UNA LÍNEA DE LA RED DE ATARJEAS CERCA DE LA OBRA, SE CONSIDERÓ UNA OPCIÓN MAS VIABLE Y MAS ECONÓMICA ENCAUSAR LAS AGUAS NEGRAS DEL MÓDULO DE BAÑOS A LA RED MUNICIPAL DE ALCANTARILLADO SANITARIO. CABE ACLARAR QUE A LOS TRABAJOS DE AMPLIACIÓN DE LA RED DE ALCANTARILLADO SANITARIO QUE SE HAN EJECUTADO A LA FECHA, SE LES DIÓ UN PORCENTAJE DE AVANCE EN LA PARTIDA ""FOSA SÉPTICA""",,,2,1,1,1,1,2,0,0,0,0,NULL,23,15.5,NULL,NULL,0,,,
SIDUR-PF-15-080.22,1,20160307,1,,OBRA EN PROCESO CON  BUEN RITMO DE TRABAJO,,1,1,1,2,2,4,0,0,0,0,NULL,25,13.6,NULL,NULL,0,,,
SIDUR-PF-15-070.29,1,20160215,1,,,,2,2,2,2,2,2,2,2,2,2,NULL,28,16.75,NULL,NULL,0,,,
SIDUR-PF-15-070.29,2,20160229,1,,,,2,2,2,2,2,3,0,0,4,0,NULL,29,23.15,NULL,NULL,0,,,
SIDUR-PF-15-081.32,1,20160215,1,,,,2,2,2,2,2,2,2,2,2,2,NULL,35,5,NULL,NULL,0,,,
SIDUR-PF-15-081.32,2,20160229,1,,,,2,2,2,2,2,2,2,2,2,2,NULL,36,10.32,NULL,NULL,0,,,
